CustomerID,RiskTolerance,PreferredInvestment,PortfolioDiversification
482a6749-b62c-4d56-b92c-4f4755d70974,High,Bonds,0.32
2a245696-4cbb-45e9-83f4-6a588596d49b,Medium,Stocks,0.6
69e0e788-783f-4e6a-8254-9114aba4363a,Medium,Bonds,0.15
17a76137-405a-41bf-b01d-a8c8df08b871,High,Mutual Funds,0.32
5adc663b-37e1-4eb7-9ecf-edda16346c92,High,Mutual Funds,0.74
31a1f4bf-3154-4abf-9079-e80671dc6cb2,Medium,ETFs,0.96
f19c8437-b8db-419e-a4ce-2d4942aaede9,High,Stocks,0.56
fdbf632b-afb4-4b9e-9661-dca3824c8f1e,High,Mutual Funds,0.39
e1e64bac-5c98-41eb-be30-1023acddd079,High,Mutual Funds,0.26
f2a728c1-64c0-4623-8321-96c9eb60a50a,Low,Real Estate,0.86
38841680-6130-44e6-bc6a-a120197db6e8,Low,Real Estate,0.34
5e65e990-917c-4538-9ae8-8ebc4191bfef,Low,ETFs,0.22
23737cbe-8a6b-44c7-b248-91992efa91ca,Medium,ETFs,0.36
640f2c89-09c5-4f89-8afd-953b149bd619,Medium,Mutual Funds,0.66
cf72b62d-2bd2-4b27-95d6-ba619ae8414a,Low,Real Estate,0.49
1dcdb9a7-31ce-4fd9-96c1-5be4ea7d4111,High,ETFs,0.86
8a1e59ac-7217-41d9-9b9f-be90348faeab,Medium,Bonds,0.54
95f08d59-847d-4161-a898-2f8feac30cb3,High,Mutual Funds,0.17
2346157e-2094-402b-b936-7c0630f73707,High,Stocks,0.11
3a12e897-0ed0-4494-8e35-4e7f32cffeb7,Low,Mutual Funds,0.75
8877d956-4536-403c-a2fd-298c5eb8952d,Low,Bonds,0.59
8119a587-79fe-4ae8-9403-8071da61e6f9,Medium,Mutual Funds,0.12
119a0352-7a7c-407c-904e-0daa1a787ab7,Low,Real Estate,0.45
dadb0272-c667-4d1a-ab88-7bb9f87c497e,High,Stocks,0.79
0a925788-ed28-40f3-b883-f4bb459d6bab,High,ETFs,0.82
999b4cef-d1bc-4aaf-b868-ddec9248ca59,Medium,ETFs,0.87
2b9d7eb5-8616-4215-9c51-8612b2a91a57,Medium,Stocks,0.36
0f7c221e-a9b8-41ee-8719-fd592282822b,Medium,Real Estate,0.52
