CustomerID,Age,Gender,MaritalStatus,AnnualIncome,RiskTolerance,PreferredInvestment,PortfolioDiversification,RetirementAge,SavingsGoal,InvestmentStrategy,MonthlySavings,SavingFrequency,SavingInstruments,TransactionID,TransactionDate,TransactionAmount,TransactionType
1,37,Female,Married,69279,Medium,Bonds,Low,65,651890,Conservative,1977,Quarterly,Real Estate,1,2023-01-01,400.56,Credit
2,39,Female,Married,141474,Low,Mutual Funds,Low,55,1381278,Aggressive,4957,Quarterly,Bank Deposit,2,2023-01-02,6498.19,Credit
3,60,Male,Single,146570,Medium,Stocks,Medium,64,1239766,Balanced,3653,Quarterly,Bonds,3,2023-01-03,9401.84,Credit
4,63,Male,Single,144672,Low,Mutual Funds,Low,66,1577935,Conservative,2891,Quarterly,Bonds,4,2023-01-04,9537.55,Credit
5,56,Male,Married,90318,High,Mutual Funds,Low,65,529307,Balanced,2484,Annually,Real Estate,5,2023-01-05,4321.43,Debit
6,51,Female,Single,144205,High,Bonds,High,55,283863,Balanced,602,Annually,Bank Deposit,6,2023-01-06,9313.53,Credit
7,52,Male,Single,95724,Medium,Real Estate,High,69,204142,Aggressive,819,Monthly,Real Estate,7,2023-01-07,2975.16,Debit
8,53,Male,Single,139265,Low,Stocks,Medium,61,1914040,Balanced,1361,Annually,Bank Deposit,8,2023-01-08,2854.37,Credit
9,21,Male,Divorced,141586,Low,Bonds,Medium,59,1696095,Aggressive,3022,Annually,Real Estate,9,2023-01-09,5144.27,Credit
10,57,Female,Married,117302,Medium,Mutual Funds,Medium,67,1115832,Balanced,653,Monthly,Bank Deposit,10,2023-01-10,2003.73,Debit
11,49,Male,Divorced,37792,High,Real Estate,Low,69,720246,Aggressive,816,Monthly,Real Estate,11,2023-01-11,1370.57,Debit
12,29,Male,Single,140930,High,Real Estate,Low,61,1213960,Aggressive,2735,Monthly,Real Estate,12,2023-01-12,916.31,Credit
13,64,Female,Divorced,90057,High,Stocks,Medium,68,531320,Conservative,1630,Quarterly,Bank Deposit,13,2023-01-13,589.94,Credit
14,27,Male,Divorced,77697,Medium,Mutual Funds,High,67,217290,Conservative,1591,Annually,Real Estate,14,2023-01-14,5984.96,Debit
15,38,Male,Married,36184,Low,Mutual Funds,Low,57,913647,Balanced,4154,Quarterly,Real Estate,15,2023-01-15,4490.57,Debit
16,27,Female,Married,71581,High,Real Estate,High,64,502708,Balanced,4663,Quarterly,Real Estate,16,2023-01-16,2541.89,Credit
17,52,Female,Married,92194,Low,Stocks,Medium,55,1890791,Balanced,2179,Annually,Bonds,17,2023-01-17,2894.15,Credit
18,44,Female,Married,43605,High,Stocks,Medium,56,166324,Balanced,3955,Quarterly,Real Estate,18,2023-01-18,5255.07,Credit
19,36,Female,Single,82103,Low,Bonds,Low,55,1296439,Aggressive,1334,Monthly,Stocks,19,2023-01-19,7115.06,Credit
